LATITUDE,LONGITUDE,UTM_X,UTM_Y,UTM_ZONE,DATE,TIME,SATELLITE,CONFIDENCE,ORG,TUMBOON,AUMPER,PROVINCE,NAME,ZONE 
15.37264,100.69432,681856,1700255,47P,17/02/2019,1312,S,1,NASA,ดงดินแดง,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.37288,100.69762,682210,1700285,47P,17/02/2019,1312,S,1,NASA,ดงดินแดง,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.37344,100.69894,682351,1700348,47P,17/02/2019,1312,S,1,NASA,ดงดินแดง,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.42778,100.83632,697049,1706481,47P,17/02/2019,1312,S,1,NASA,โคกเจริญ,โคกเจริญ,ลพบุรี,เกษตรกรรม,AGI
15.43149,100.83566,696975,1706891,47P,17/02/2019,1312,S,1,NASA,โคกเจริญ,โคกเจริญ,ลพบุรี,เกษตรกรรม,AGI
15.45622,100.48219,659019,1709335,47P,17/02/2019,1312,S,1,NASA,พุนกยูง,ตากฟ้า,นครสวรรค์,เกษตรกรรม,AGI
15.55408,100.69182,681429,1720330,47P,17/02/2019,1312,S,1,NASA,สำโรงชัย,ไพศาลี,นครสวรรค์,เกษตรกรรม,AGI
15.55781,100.69115,681354,1720742,47P,17/02/2019,1312,S,1,NASA,สำโรงชัย,ไพศาลี,นครสวรรค์,เกษตรกรรม,AGI
15.6321,101.20087,735951,1729463,47P,17/02/2019,1312,S,1,NASA,บ่อรัง,วิเชียรบุรี,เพชรบูรณ์,เกษตรกรรม,AGI
15.64931,100.04914,612448,1730422,47P,17/02/2019,1312,S,1,NASA,บางประมุง,โกรกพระ,นครสวรรค์,เกษตรกรรม,AGI
15.78764,100.79074,691822,1746261,47P,17/02/2019,1312,S,1,NASA,วังบ่อ,หนองบัว,นครสวรรค์,เกษตรกรรม,AGI
15.80169,100.46429,656835,1747545,47P,17/02/2019,1312,S,1,NASA,สายลำโพง,ท่าตะโก,นครสวรรค์,เกษตรกรรม,AGI
15.8025,100.46902,657341,1747639,47P,17/02/2019,1312,S,1,NASA,สายลำโพง,ท่าตะโก,นครสวรรค์,เกษตรกรรม,AGI
15.81724,99.88261,594520,1748918,47P,17/02/2019,1312,S,1,NASA,เนินขี้เหล็ก,ลาดยาว,นครสวรรค์,เกษตรกรรม,AGI
15.81794,100.18072,626449,1749152,47P,17/02/2019,1312,S,1,NASA,บางเคียน,ชุมแสง,นครสวรรค์,เกษตรกรรม,AGI
15.85812,100.45402,655692,1753781,47P,17/02/2019,1312,S,1,NASA,ห้วยถั่วใต้,หนองบัว,นครสวรรค์,เกษตรกรรม,AGI
15.85892,100.45875,656197,1753873,47P,17/02/2019,1312,S,1,NASA,ห้วยถั่วใต้,หนองบัว,นครสวรรค์,เกษตรกรรม,AGI
15.8602,99.96847,603694,1753711,47P,17/02/2019,1312,S,1,NASA,อ่างทอง,บรรพตพิสัย,นครสวรรค์,เกษตรกรรม,AGI
15.88504,100.52196,662946,1756812,47P,17/02/2019,1312,S,1,NASA,ห้วยร่วม,หนองบัว,นครสวรรค์,เกษตรกรรม,AGI
15.88591,100.52361,663122,1756909,47P,17/02/2019,1312,S,1,NASA,ห้วยร่วม,หนองบัว,นครสวรรค์,เกษตรกรรม,AGI
15.93232,100.19273,627663,1761814,47P,17/02/2019,1312,S,1,NASA,บางเคียน,ชุมแสง,นครสวรรค์,เกษตรกรรม,AGI
15.93373,100.18971,627339,1761968,47P,17/02/2019,1312,S,1,NASA,บางเคียน,ชุมแสง,นครสวรรค์,เกษตรกรรม,AGI
15.93965,100.36273,645856,1762736,47P,17/02/2019,1312,S,1,NASA,พิกุล,ชุมแสง,นครสวรรค์,เกษตรกรรม,AGI
15.94386,100.2805,637051,1763146,47P,17/02/2019,1312,S,1,NASA,ฆะมัง,ชุมแสง,นครสวรรค์,เกษตรกรรม,AGI
15.96694,100.52337,663031,1765875,47P,17/02/2019,1312,S,1,NASA,ห้วยร่วม,ดงเจริญ,พิจิตร,เกษตรกรรม,AGI
15.99363,100.25155,633919,1768634,47P,17/02/2019,1312,S,1,NASA,ท่าเสา,โพทะเล,พิจิตร,เกษตรกรรม,AGI
16.03533,100.69434,681271,1773584,47Q,17/02/2019,1312,S,1,NASA,บ้านกล้วย,ชนแดน,เพชรบูรณ์,เกษตรกรรม,AGI
16.24549,100.52131,662583,1796694,47Q,17/02/2019,1312,S,1,NASA,เขาเจ็ดลูก,ทับคล้อ,พิจิตร,เกษตรกรรม,AGI
16.29889,100.20133,628347,1802375,47Q,17/02/2019,1312,S,1,NASA,เนินสว่าง,โพธิ์ประทับช้าง,พิจิตร,เกษตรกรรม,AGI
16.42273,99.76033,581178,1815849,47Q,17/02/2019,1312,S,1,NASA,หนองทอง,ไทรงาม,กำแพงเพชร,เกษตรกรรม,AGI
16.42661,99.75961,581099,1816278,47Q,17/02/2019,1312,S,1,NASA,หนองทอง,ไทรงาม,กำแพงเพชร,เกษตรกรรม,AGI
16.48934,100.11609,619124,1823394,47Q,17/02/2019,1312,S,1,NASA,บ้านนา,วชิรบารมี,พิจิตร,เกษตรกรรม,AGI
17.56067,99.33205,535238,1941612,47Q,17/02/2019,1312,S,1,NASA,แม่มอก,เถิน,ลำปาง,เกษตรกรรม,AGI
17.74884,98.82338,481276,1962407,47Q,17/02/2019,1312,S,1,NASA,แม่ลาน,ลี้,ลำพูน,เกษตรกรรม,AGI
17.99579,98.61486,459227,1989762,47Q,17/02/2019,1312,S,1,NASA,ท่าเดื่อ,ดอยเต่า,เชียงใหม่,เกษตรกรรม,AGI
18.01128,98.60777,458480,1991477,47Q,17/02/2019,1312,S,1,NASA,บงตัน,ดอยเต่า,เชียงใหม่,เกษตรกรรม,AGI
18.01533,98.60695,458394,1991926,47Q,17/02/2019,1312,S,1,NASA,บงตัน,ดอยเต่า,เชียงใหม่,เกษตรกรรม,AGI
18.02411,98.58573,456150,1992902,47Q,17/02/2019,1312,S,1,NASA,นาคอเรือ,ฮอด,เชียงใหม่,เกษตรกรรม,AGI
18.08148,98.55962,453401,1999256,47Q,17/02/2019,1312,S,1,NASA,ฮอด,ฮอด,เชียงใหม่,เกษตรกรรม,AGI
18.08148,98.58269,455842,1999250,47Q,17/02/2019,1312,S,1,NASA,ฮอด,ฮอด,เชียงใหม่,เกษตรกรรม,AGI
18.08217,98.58643,456238,1999326,47Q,17/02/2019,1312,S,1,NASA,ฮอด,ฮอด,เชียงใหม่,เกษตรกรรม,AGI
18.2398,98.64819,462807,2016752,47Q,17/02/2019,1312,S,1,NASA,บ้านแปะ,จอมทอง,เชียงใหม่,เกษตรกรรม,AGI
18.26828,99.30867,532627,2019895,47Q,17/02/2019,1312,S,1,NASA,ใหม่พัฒนา,เกาะคา,ลำปาง,เกษตรกรรม,AGI
18.26865,99.30595,532339,2019935,47Q,17/02/2019,1312,S,1,NASA,ใหม่พัฒนา,เกาะคา,ลำปาง,เกษตรกรรม,AGI
18.29515,98.9353,493162,2022842,47Q,17/02/2019,1312,S,1,NASA,นครเจดีย์,ป่าซาง,ลำพูน,เกษตรกรรม,AGI
18.29814,98.92905,492502,2023173,47Q,17/02/2019,1312,S,1,NASA,นครเจดีย์,ป่าซาง,ลำพูน,เกษตรกรรม,AGI
18.32361,98.74227,472766,2026008,47Q,17/02/2019,1312,S,1,NASA,หนองปลาสวาย,บ้านโฮ่ง,ลำพูน,เกษตรกรรม,AGI
18.46227,98.92928,492533,2041332,47Q,17/02/2019,1312,S,1,NASA,มะกอก,ป่าซาง,ลำพูน,เกษตรกรรม,AGI
18.67378,98.78423,477246,2064746,47Q,17/02/2019,1312,S,1,NASA,ดอนเปา,แม่วาง,เชียงใหม่,เกษตรกรรม,AGI
18.68767,98.70133,468507,2066296,47Q,17/02/2019,1312,S,1,NASA,แม่วิน,แม่วาง,เชียงใหม่,เกษตรกรรม,AGI
18.86827,99.66053,569576,2086382,47Q,17/02/2019,1312,S,1,NASA,ทุ่งผึ้ง,แจ้ห่ม,ลำปาง,เกษตรกรรม,AGI
18.87116,99.65693,569196,2086700,47Q,17/02/2019,1312,S,1,NASA,ทุ่งผึ้ง,แจ้ห่ม,ลำปาง,เกษตรกรรม,AGI
